RentalID,Year,RentalPrice,Province,Town,RoomType
1,1987,480,Newfoundland and Labrador,Corner Brook,Two bedroom units
2,1987,370,Newfoundland and Labrador,Gander,One bedroom units
3,1987,414,Newfoundland and Labrador,Gander,Two bedroom units
4,1987,414,Newfoundland and Labrador,Gander,Three bedroom units
5,1987,254,Newfoundland and Labrador,Labrador City,One bedroom units
6,1987,270,Newfoundland and Labrador,Labrador City,Two bedroom units
7,1987,316,Newfoundland and Labrador,Labrador City,Three bedroom units
8,1987,364,Newfoundland and Labrador,St. John's,Bachelor units
9,1987,458,Newfoundland and Labrador,St. John's,One bedroom units
10,1987,538,Newfoundland and Labrador,St. John's,Two bedroom units
11,1987,518,Newfoundland and Labrador,St. John's,Three bedroom units
12,1987,309,Prince Edward Island,Charlottetown,Bachelor units
13,1987,367,Prince Edward Island,Charlottetown,One bedroom units
14,1987,448,Prince Edward Island,Charlottetown,Two bedroom units
15,1987,517,Prince Edward Island,Charlottetown,Three bedroom units
16,1987,414,Prince Edward Island,Summerside,Two bedroom units
17,1987,461,Prince Edward Island,Summerside,Three bedroom units
18,1987,242,Nova Scotia,Cape Breton,Bachelor units
19,1987,308,Nova Scotia,Cape Breton,One bedroom units
20,1987,401,Nova Scotia,Cape Breton,Two bedroom units
21,1987,519,Nova Scotia,Cape Breton,Three bedroom units
22,1987,376,Nova Scotia,Halifax,Bachelor units
23,1987,438,Nova Scotia,Halifax,One bedroom units
24,1987,527,Nova Scotia,Halifax,Two bedroom units
25,1987,643,Nova Scotia,Halifax,Three bedroom units
26,1987,292,Nova Scotia,Kentville,Bachelor units
27,1987,329,Nova Scotia,Kentville,One bedroom units
28,1987,375,Nova Scotia,Kentville,Two bedroom units
29,1987,421,Nova Scotia,Kentville,Three bedroom units
30,1987,318,Nova Scotia,New Glasgow,One bedroom units
31,1987,388,Nova Scotia,New Glasgow,Two bedroom units
32,1987,230,Nova Scotia,Truro,Bachelor units
33,1987,334,Nova Scotia,Truro,One bedroom units
34,1987,429,Nova Scotia,Truro,Two bedroom units
35,1987,447,Nova Scotia,Truro,Three bedroom units
36,1987,235,New Brunswick,Bathurst,Bachelor units
37,1987,299,New Brunswick,Bathurst,One bedroom units
38,1987,360,New Brunswick,Bathurst,Two bedroom units
39,1987,354,New Brunswick,Bathurst,Three bedroom units
40,1987,223,New Brunswick,Edmundston,Bachelor units
41,1987,286,New Brunswick,Edmundston,One bedroom units
42,1987,337,New Brunswick,Edmundston,Two bedroom units
43,1987,280,New Brunswick,Edmundston,Three bedroom units
44,1987,355,New Brunswick,Fredericton,Bachelor units
45,1987,406,New Brunswick,Fredericton,One bedroom units
46,1987,460,New Brunswick,Fredericton,Two bedroom units
47,1987,536,New Brunswick,Fredericton,Three bedroom units
48,1987,284,New Brunswick,Moncton,Bachelor units
49,1987,354,New Brunswick,Moncton,One bedroom units
50,1987,411,New Brunswick,Moncton,Two bedroom units
51,1987,466,New Brunswick,Moncton,Three bedroom units
52,1987,338,New Brunswick,Oromocto,One bedroom units
53,1987,428,New Brunswick,Oromocto,Two bedroom units
